name,constellation,ra_j2000_deg,dec_j2000_deg,mag
Sirius,CMa,101.288,-16.716,-1.46
Canopus,Car,95.987,-52.696,-0.74
Rigil Kentaurus,Cen,219.900,-60.834,-0.27
Arcturus,Boo,213.917,19.182,-0.05
Vega,Lyr,279.233,38.784,0.03
Capella,Aur,79.171,45.998,0.08
Rigel,Ori,78.633,-8.202,0.13
Procyon,CMi,114.825,5.225,0.38
Achernar,Eri,24.429,-57.237,0.46
Betelgeuse,Ori,88.792,7.407,0.50
Hadar,Cen,210.954,-60.373,0.61
Altair,Aql,297.696,8.868,0.76
Acrux,Cru,186.650,-63.099,0.77
Aldebaran,Tau,68.979,16.509,0.85
Spica,Vir,201.300,-11.161,1.04
Antares,Sco,247.350,-26.432,1.06
Pollux,Gem,116.329,28.026,1.14
Fomalhaut,PsA,344.413,-29.622,1.16
Deneb,Cyg,310.358,45.280,1.25
Mimosa,Cru,191.929,-59.689,1.25
Regulus,Leo,152.092,11.967,1.35
Adhara,CMa,104.658,-28.972,1.50
Castor,Gem,113.650,31.888,1.58
Shaula,Sco,263.404,-37.104,1.62
Gacrux,Cru,187.792,-57.113,1.63
Bellatrix,Ori,81.283,6.350,1.64
Elnath,Tau,81.575,28.608,1.65
Alnilam,Ori,84.054,-1.202,1.69
Miaplacidus,Car,138.300,-69.717,1.69
Alnair,Gru,332.058,-46.961,1.74
Gamma Velorum,Vel,122.383,-47.337,1.75
Alioth,UMa,193.508,55.960,1.77
Alnitak,Ori,85.192,-1.943,1.77
Dubhe,UMa,165.933,61.751,1.79
Mirfak,Per,51.079,49.861,1.79
Wezen,CMa,107.096,-26.393,1.83
Alkaid,UMa,206.883,49.313,1.85
Kaus Australis,Sgr,276.042,-34.385,1.85
Avior,Car,125.629,-59.509,1.86
Sargas,Sco,264.329,-42.998,1.86
Menkalinan,Aur,89.883,44.947,1.90
Atria,TrA,252.167,-69.028,1.91
Alhena,Gem,99.429,16.399,1.93
Peacock,Pav,306.413,-56.735,1.94
Delta Velorum,Vel,131.175,-54.709,1.96
Alphard,Hya,141.896,-8.659,1.98
Mirzam,CMa,95.675,-17.956,1.98
Polaris,UMi,37.954,89.264,1.98
Hamal,Ari,31.792,23.462,2.00
