hc_name,catalog_name
Sirius,
Canopus,
Alpha Centauri,Rigil Kentaurus
Arcturus,
Vega,
Capella,
Rigel,
Procyon,
Achernar,
Betelgeuse,
Hadar,
Altair,
Acrux,
Aldebaran,
Spica,
Antares,
Pollux,
Fomalhaut,
Deneb,
Mimosa,
Regulus,
Adhara,
Castor,
Shaula,
Gacrux,
Bellatrix,
El Nath,Elnath
Alnilam,
Miaplacidus,
Alnair,
Regor,Gamma Velorum
Alioth,
Alnitak,
Dubhe,
Mirfak,
Wezen,
Alkaid,
Kaus Australis,
Avior,
Sargas,
Menkalinan,
Atria,
Alhena,
Peacock,
Alphard,
Mirzam,
Polaris,
Hamal,
Diphda,
Mirach,
Nunki,
Alpheratz,
Menkent,
Kochab,
Rasalhague,
Saiph,
Algieba,
Almach,
Denebola,
Algol,
Scutulum,Aspidiske
Naos,
Suhail,
Alphecca,
Eltanin,
Mintaka,
Mizar,
Sadr,
Schedar,
Caph,
Dschubba,
Izar,
Merak,
Ankaa,
Enif,
Scheat,
Sabik,
Phad,Phecda
Alderamin,
Aludra,
Tsih,Gamma Cassiopeiae
Markab,
