hc_name,catalog_name
Sirius,
Canopus,
Rigil Kentaurus,
Arcturus,
Vega,
Capella,
Rigel,
Procyon,
Achernar,
Betelgeuse,
Hadar,
Altair,
Acrux,
Aldebaran,
Spica,
Antares,
Pollux,
Fomalhaut,
Deneb,
Mimosa,
Regulus,
Adhara,
Castor,
Shaula,
Gacrux,
Bellatrix,
Elnath,
Alnilam,
Miaplacidus,
Alnair,
Regor,Gamma Velorum
Alioth,
Alnitak,
Dubhe,
Mirfak,
Wezen,
Alkaid,
Kaus Australis,
Avior,
Sargas,
Menkalinan,
Atria,
Alhena,
Peacock,
Alphard,
Mirzam,
Polaris,
Hamal,
Diphda,
Mirach,
Nunki,
Alpheratz,
Menkent,
Kochab,
Rasalhague,
Saiph,
Algieba,
Almach,
Denebola,
Algol,
Scutulum,Aspidiske
Naos,
Suhail,
Alphecca,
Eltanin,
Mintaka,
Mizar,
Sadr,
Schedar,
Caph,
Dschubba,
Izar,
Merak,
Ankaa,
Enif,
Scheat,
Sabik,
Phecda,
Alderamin,
Aludra,
Markab,
Muhlifain,
Menkar,
Graffias,Acrab
Zosma,
Arneb,
Gienah,
Ascella,
Zubeneshamali,Zubeneschamali
Unukalhai,
Sheratan,
Kraz,
Phact,
Muphrid,
Ruchbah,
Hassaleh,
Kaus Media,
Lesuth,Lesath
Tarazed,
Yed Prior,
Yed Posterior,
Porrima,
Zubenelgenubi,
Celbalrai,Cebalrai
Nair Saif,Hatysa
Kornephoros,
Cursa,
Rastaban,
Kaus Borealis,
Nihal,
Algenib,
Vindemiatrix,
Atik,
Deneb Algiedi,Deneb Algedi
Alcyone,
Tejat,
Acamar,
Gomeisa,
Sadalsuud,
Zaurak,
Matar,
Algorab,
Sadalmelik,
Ras Elased Australis,
Alnasl,
Mebsuta,
Dabih,
Pherkad,
Tania Australis,
Altais,
Rasalgethi,
Sarin,
Talitha,
Wazn,
Alfirk,
Errai,
Edasich,
Megrez,
Chertan,
Alzirr,
Segin,
Adhafera,
Nekkar,
Seginus,
Furud,
Albireo,
Sulaphat,Sulafat
Minkar,Epsilon Corvi
