# name	taken (RFC3339)	az	alt	roll	iso	exposure_ms	width	height
IMG_0892.DNG	2026-08-10T23:26:15Z	215.2068	39.3272	1.9772	2500	10000	4032	3024
IMG_0893.DNG	2026-08-10T23:26:53Z	215.1826	39.2116	1.8605	4000	10000	4032	3024
IMG_0894.DNG	2026-08-10T23:27:30Z	215.2650	39.2939	1.8789	5000	10000	4032	3024
IMG_0895.DNG	2026-08-10T23:28:27Z	215.2278	39.2312	1.8332	2500	10000	4032	3024
IMG_0896.DNG	2026-08-10T23:29:07Z	215.1725	39.2803	1.8601	2500	10000	4032	3024
IMG_0897.DNG	2026-08-10T23:30:16Z	215.1946	39.1831	1.6864	2500	10000	4032	3024
IMG_0898.DNG	2026-08-10T23:31:46Z	215.2644	39.2030	1.9234	2000	10000	4032	3024
IMG_0899.DNG	2026-08-10T23:32:26Z	215.2785	39.2255	1.9194	2500	10000	4032	3024
IMG_0900.DNG	2026-08-10T23:33:25Z	215.4530	39.2930	1.8773	2500	10000	4032	3024
IMG_0901.DNG	2026-08-10T23:34:32Z	215.4515	39.2926	1.9010	2500	10000	4032	3024
IMG_0902.DNG	2026-08-10T23:35:05Z	215.6255	39.3648	1.9187	12500	1100	4032	3024
IMG_0904.DNG	2026-08-10T23:40:24Z	253.7290	-84.0540	8.8579	8000	7500	4032	3024
IMG_0905.DNG	2026-08-10T23:41:05Z	250.7576	-84.0034	8.0956	3200	7500	4032	3024
IMG_0906.DNG	2026-08-10T23:42:17Z	251.0040	-82.4259	8.1593	8000	7500	4032	3024
IMG_0907.DNG	2026-08-10T23:43:13Z	251.3561	-82.3219	7.4493	1000	7500	4032	3024
IMG_0908.DNG	2026-08-10T23:44:00Z	251.4515	-82.3197	7.3758	8000	7500	4032	3024
IMG_0909.DNG	2026-08-10T23:44:39Z	251.2993	-82.3613	7.3102	8000	7500	4032	3024
IMG_0910.DNG	2026-08-10T23:45:16Z	251.4315	-82.2661	7.7200	12500	7500	4032	3024
IMG_0911.DNG	2026-08-10T23:45:53Z	251.7016	-82.2879	7.7028	12500	7500	4032	3024
IMG_0912.DNG	2026-08-10T23:46:47Z	251.2329	-82.2214	7.3047	1000	7500	4032	3024
IMG_0913.DNG	2026-08-10T23:47:42Z	251.5467	-82.2501	7.2887	8000	7500	4032	3024
IMG_0914.DNG	2026-08-10T23:48:51Z	251.5423	-82.4634	4.5657	2000	7500	4032	3024
IMG_0915.DNG	2026-08-10T23:49:26Z	249.4348	-82.3662	2.7050	10000	67	8064	6048
IMG_0916.DNG	2026-08-10T23:49:30Z	249.3990	-82.3418	3.5792	10000	67	8064	6048
IMG_0917.DNG	2026-08-10T23:49:33Z	249.1443	-82.4016	3.3420	10000	67	8064	6048
IMG_0918.DNG	2026-08-10T23:49:38Z	249.1605	-82.3826	3.2711	10000	67	8064	6048
IMG_0919.DNG	2026-08-10T23:49:42Z	249.6492	-82.3991	3.6359	10000	67	8064	6048
IMG_0920.DNG	2026-08-10T23:49:46Z	249.5860	-82.3963	3.3509	10000	67	8064	6048
IMG_0921.DNG	2026-08-10T23:49:51Z	249.6395	-82.4025	3.5189	10000	67	8064	6048
IMG_0922.DNG	2026-08-10T23:49:56Z	249.6692	-82.3487	3.1373	10000	67	8064	6048
IMG_0923.DNG	2026-08-10T23:50:02Z	249.8217	-82.3762	2.6199	10000	67	8064	6048
IMG_0924.DNG	2026-08-10T23:50:10Z	249.7392	-82.3732	3.3556	10000	67	8064	6048
