name,dist_pc,aliases
M1,1990,NGC1952/Crab Nebula
M2,11500,NGC7089
M3,10390,NGC5272
M4,2210,NGC6121
M5,7510,NGC5904
M6,490.6,NGC6405/Butterfly Cluster
M7,300.5,NGC6475/Ptolemy Cluster
M8,1260,NGC6523/Lagoon Nebula/Sh2-25
M9,7910,NGC6333
M10,4380,NGC6254
M11,1900,NGC6705/Wild Duck Cluster
M12,4810,NGC6218
M13,6810,NGC6205/Hercules Cluster
M14,9290,NGC6402
M15,10300,NGC7078
M16,2150,NGC6611/Eagle Nebula
M17,1530,NGC6618/Omega Nebula/Swan Nebula
M18,1500,NGC6613
M19,8800,NGC6273
M20,1590,NGC6514/Trifid Nebula
M21,1300,NGC6531
M22,3190,NGC6656
M23,628.5,NGC6494
M24,3070,IC4715/Sagittarius Star Cloud
M25,613.2,IC4725
M26,1530,NGC6694
M27,417,NGC6853/Dumbbell Nebula
M28,5490,NGC6626
M29,1230,NGC6913
M30,8000,NGC7099
M31,778000,NGC224/Andromeda Galaxy
M32,812000,NGC221
M33,837000,NGC598/Triangulum Galaxy
M34,459.9,NGC1039
M35,858.5,NGC2168
M36,1260,NGC1960
M37,1380,NGC2099
M38,1290,NGC1912
M39,252.6,NGC7092
M40,156.4,Winnecke 4
M41,705.2,NGC2287
M42,412.1,NGC1976/Orion Nebula
M43,490.6,NGC1982/De Mairan's Nebula
M44,176.9,NGC2632/Beehive Cluster/Praesepe
M45,136.1,Pleiades
M46,1660,NGC2437
M47,490.6,NGC2422
M48,459.9,NGC2548
M49,17170000,NGC4472
M50,981.1,NGC2323
M51,7052000,NGC5194/Whirlpool Galaxy
M52,1530,NGC7654
M53,17780,NGC5024
M54,26800,NGC6715
M55,5400,NGC6809
M56,10090,NGC6779
M57,705.2,NGC6720/Ring Nebula
M58,20849000,NGC4579
M59,18396000,NGC4621
M60,16863000,NGC4649
M61,16097000,NGC4303
M62,6900,NGC6266
M63,11344000,NGC5055/Sunflower Galaxy
M64,7358000,NGC4826/Black Eye Galaxy
M65,10731000,NGC3623
M66,11038000,NGC3627
M67,827.8,NGC2682
M68,10300,NGC4590
M69,9110,NGC6637
M70,9010,NGC6681
M71,3990,NGC6838
M72,16990,NGC6981
M73,766.5,NGC6994
M74,9811000,NGC628/Phantom Galaxy
M75,20700,NGC6864
M76,1040,NGC650/Little Dumbbell Nebula
M77,14410000,NGC1068/Cetus A
M78,490.6,NGC2068
M79,12570,NGC1904
M80,10000,NGC6093
M81,3618000,NGC3031/Bode's Galaxy
M82,3526000,NGC3034/Cigar Galaxy
M83,4599000,NGC5236/Southern Pinwheel Galaxy
M84,18396000,NGC4374
M85,18396000,NGC4382
M86,15943000,NGC4406
M87,16403000,NGC4486/Virgo A
M88,14410000,NGC4501
M89,15330000,NGC4552
M90,17998000,NGC4569
