name,type,majax,minax,posang,surfbr,hubble,messier,common
IC2,G,0.98,0.32,142,23.45,Sb,,
IC3,G,0.93,0.67,53,23.50,E,,
IC4,G,1.17,0.84,12,23.01,Sc,,
IC5,G,0.99,0.66,9,23.40,E,,
IC6,G,1.23,1.08,146,23.89,E,,
IC7,G,0.90,0.63,174,23.22,S0,,
IC8,G,0.82,0.34,129,23.40,E?,,
IC9,G,0.59,0.46,122,22.88,Sa,,
IC10,G,6.76,6.03,129,24.53,IB,,
IC12,G,0.96,0.32,20,22.93,Sbc,,
IC13,G,1.29,0.53,162,23.53,Sbc,,
IC15,G,0.44,0.38,91,22.85,SBb,,
IC16,G,0.58,0.32,62,23.00,S0-a,,
IC17,G,0.67,0.54,102,23.04,E?,,
IC18,G,1.08,0.41,29,23.62,Sb,,
IC19,G,0.79,0.67,30,23.52,E,,
IC20,G,0.91,0.77,18,23.41,S0,,
IC21,G,0.49,0.45,6,22.96,SBb,,
IC22,G,0.81,0.44,45,23.07,S0,,
IC23,G,0.85,0.77,20,23.52,E,,
IC25,G,0.86,0.44,34,23.68,S0-a,,
IC27,G,0.58,0.34,148,23.37,,,
IC28,G,0.30,0.22,85,,E,,
IC29,G,0.66,0.49,160,23.75,E,,
IC30,G,0.69,0.39,23,23.71,S0-a,,
IC31,G,1.16,0.23,90,23.86,Sab,,
IC32,G,0.62,0.39,1,23.62,S0-a,,
IC33,G,0.78,0.58,123,23.60,,,
IC34,G,2.81,1.05,156,24.32,SBa,,
IC35,G,0.90,0.74,18,23.36,Sc,,
IC36,G,0.31,0.30,60,,,,
IC37,G,0.67,0.38,158,23.37,SBbc,,
IC38,G,0.77,0.57,65,22.93,Sc,,
IC40,G,1.05,0.43,14,23.27,Sb,,
IC41,G,0.71,0.45,162,23.20,,,
IC42,G,0.76,0.53,56,23.25,SABc,,
IC43,G,1.26,1.15,87,23.13,SABc,,
IC46,G,0.80,0.61,82,22.83,E-S0,,
IC47,G,0.41,0.24,100,,,,
IC48,G,1.12,0.92,172,23.01,S0,,
IC49,G,1.28,1.04,77,23.39,SABc,,
IC50,G,1.02,0.87,169,23.71,E,,
IC51,G,1.70,1.11,55,23.63,S0,,
IC52,G,0.95,0.41,96,23.41,Sb,,
IC53,G,0.87,0.62,94,23.75,E-S0,,
IC55,G,0.55,0.28,175,22.14,Sa,,
IC56,G,0.82,0.74,116,23.23,SABc,,
IC57,G,1.03,0.96,10,24.30,S0,,
IC58,G,0.84,0.50,105,23.74,E-S0,,
IC59,RfN,10.00,5.00,,,,,
IC60,G,1.04,0.76,48,24.14,Sc,,
IC61,G,1.34,1.29,175,24.61,S0,,
IC62,G,0.76,0.46,25,22.85,Sbc,,
IC63,HII,10.00,3.00,,,,,
IC64,G,1.03,0.65,148,23.88,S0,,
IC65,G,2.56,0.73,154,23.45,Sbc,,
IC66,G,1.23,0.42,124,23.66,Sa,,
IC69,G,0.76,0.41,71,23.04,SABb,,
IC70,G,0.42,0.24,147,23.65,S0-a,,
IC73,G,0.62,0.48,149,23.23,,,
IC74,G,0.57,0.46,5,23.10,E-S0,,
IC75,G,0.66,0.51,31,22.80,Sb,,
IC76,G,0.81,0.36,116,23.52,S0-a,,
IC77,G,0.52,0.44,90,23.56,S0,,
IC78,G,1.75,0.75,126,24.55,Sa,,
IC79,G,1.24,0.91,158,24.12,E-S0,,
IC80,GPair,1.20,,,,,,
IC80,G,1.50,1.03,83,24.48,E,,
IC80,G,1.50,1.06,50,23.66,E,,
IC81,G,1.17,0.91,145,23.57,E?,,
IC82,G,0.91,0.83,93,23.32,S0,,
IC83,G,0.68,0.45,114,23.20,,,
IC84,G,0.67,0.43,12,23.13,S0-a,,
IC86,G,0.72,0.34,142,23.29,S0-a,,
IC87,G,0.69,0.63,66,23.21,Sbc,,
IC88,G,0.53,0.44,129,23.15,Sbc,,
IC90,G,1.25,1.12,146,24.14,E,,
IC91,G,0.71,0.26,64,24.30,,,
IC93,G,1.21,0.56,171,22.91,Sb,,
IC95,G,0.61,0.50,54,23.72,,,
IC96,G,0.78,0.30,44,22.48,Sbc,,
IC98,G,0.68,0.61,55,23.87,,,
IC99,G,0.58,0.52,54,23.10,Sc,,
IC100,G,1.04,0.77,88,23.36,E-S0,,
IC101,G,1.24,0.59,124,23.76,Sb,,
IC102,G,0.75,0.37,111,23.59,S0-a,,
IC103,G,0.95,0.67,128,23.94,E-S0,,
IC105,G,0.58,0.29,47,23.28,S0-a,,
IC107,G,1.62,1.31,6,24.13,E,,
IC108,G,1.30,0.36,4,23.66,Sc,,
IC109,G,0.76,0.57,70,23.06,S0,,
IC112,G,0.72,0.37,127,21.61,Sd,,
IC113,G,0.35,0.26,160,,,,
IC114,G,1.40,0.56,154,24.91,S0,,
IC115,G,0.76,0.76,80,23.46,E,,
IC116,G,0.87,0.56,125,22.72,Sbc,,
IC118,G,0.72,0.55,31,23.90,E,,
IC119,G,1.19,0.58,77,24.04,S0-a,,
IC120,G,0.92,0.33,138,23.73,S0,,
IC121,G,1.00,0.62,108,22.64,Sbc,,
IC122,G,0.65,0.32,14,23.64,S0-a,,
IC123,G,0.67,0.47,44,23.24,E,,
IC125,G,0.61,0.59,53,23.50,,,
IC126,G,0.89,0.81,30,24.03,,,
IC127,G,1.69,0.45,110,23.47,Sb,,
IC128,G,0.82,0.61,165,23.31,SBc,,
IC129,G,1.23,0.60,63,24.28,S0-a,,
IC130,G,0.75,0.64,27,23.52,S0,,
IC131,HII,0.30,,,,,,
IC132,HII,0.67,0.55,,,,,
IC133,HII,0.45,0.45,,,,,
IC135,HII,0.40,,,,,,
IC136,*Ass,,,,,,,
IC137,*Ass,,,,,,,
IC138,G,1.12,0.74,23,23.37,SABc,,
IC139,*Ass,,,,,,,
IC140,*Ass,,,,,,,
IC141,G,1.23,0.91,5,23.33,Sbc,,
IC142,HII,0.50,,,,,,
IC143,HII,0.30,,,,,,
IC144,G,0.74,0.67,46,24.01,E,,
IC145,G,0.69,0.50,6,23.17,Sb,,
IC147,G,0.76,0.42,58,22.97,Sc,,
IC148,G,1.82,0.57,45,23.07,I,,
IC149,G,1.27,0.41,82,22.82,Sbc,,
IC150,G,0.88,0.50,137,22.99,Sb,,
IC154,G,1.19,0.23,66,22.86,Sb,,
IC156,G,1.51,1.33,105,24.50,Sa,,
IC158,G,0.70,0.53,140,23.74,,,
IC159,G,1.35,0.75,28,23.12,SBb,,
IC160,G,1.28,0.86,85,24.16,E-S0,,
IC161,G,0.90,0.54,67,22.95,S0-a,,
IC162,G,1.32,1.28,85,23.77,S0,,
IC163,G,1.62,0.73,90,23.05,SBd,,
IC164,G,1.58,1.35,167,23.90,E,,
IC166,OCl,7.50,,,,,,
IC167,G,1.60,0.94,107,22.95,Sc,,
IC168,G,1.12,0.39,104,23.46,S0-a,,
IC169,G,0.74,0.51,76,23.77,E-S0,,
IC170,G,0.78,0.60,92,23.59,E,,
IC171,G,2.26,1.90,107,24.18,S0-a,,
IC172,G,0.48,0.37,95,22.24,SBbc,,
IC173,G,0.92,0.72,90,23.35,SBbc,,
IC174,G,1.49,0.99,97,24.10,S0,,
IC175,G,0.52,0.46,9,23.14,,,
IC176,G,1.78,0.38,94,23.57,Sc,,
IC177,G,0.51,0.47,11,22.79,Sbc,,
IC178,G,0.94,0.79,159,22.55,Sab,,
IC179,G,1.12,0.90,111,22.67,E,,
IC180,G,0.83,0.34,150,23.04,Sb,,
IC181,G,0.57,0.49,55,23.43,,,
IC182,G,1.06,0.70,36,23.26,Sb,,
IC183,G,1.19,0.37,98,23.88,S0,,
IC184,G,1.12,0.59,178,23.35,SBa,,
IC185,G,0.79,0.33,82,23.46,Sab,,
IC186,GTrpl,1.10,,,,,,
IC186,G,1.21,0.76,33,23.56,S0,,
IC186,G,0.69,0.47,0,23.74,,,
IC186,G,0.25,0.20,101,,,,
IC187,G,2.23,0.73,70,23.83,Sa,,
IC188,G,0.54,0.28,46,21.27,SABc,,
IC189,G,0.78,0.67,86,23.18,SBc,,
IC190,G,0.25,0.20,95,,E,,
IC192,G,0.95,0.67,148,23.51,S0,,
IC193,G,1.36,0.97,154,23.58,Sc,,
IC194,G,1.85,0.33,14,24.00,Sb,,
IC195,G,1.46,0.72,135,23.63,S0,,
IC196,G,2.47,0.67,9,24.13,Sab,,
IC197,G,1.01,0.53,54,22.69,Sbc,,
IC198,G,1.01,0.56,51,23.21,Sbc,,
IC199,G,1.28,0.56,24,24.07,Sab,,
IC200,G,1.38,1.06,92,23.24,Sb,,
IC201,G,0.54,0.50,60,23.89,,,
IC202,G,1.35,0.36,131,23.81,Sb,,
IC203,G,0.60,0.51,10,24.52,,,
IC204,G,0.55,0.36,155,23.02,Sab,,
IC205,G,0.92,0.82,40,23.21,Sa,,
IC206,G,1.22,0.39,130,23.42,S0,,
IC207,G,1.81,0.45,98,24.43,S0-a,,
IC208,G,1.32,1.13,168,23.93,Sbc,,
IC209,G,1.51,1.03,82,23.09,SBbc,,
IC210,G,2.35,0.65,66,23.44,SBbc,,
IC211,G,1.66,0.76,56,23.29,SABc,,
IC212,G,0.79,0.54,84,23.67,Sbc,,
IC213,G,1.43,1.01,148,24.46,SABb,,
IC214,G,0.58,0.45,65,22.07,Sbc,,
IC215,G,0.84,0.19,78,23.01,Sb,,
IC216,G,0.50,0.32,25,23.14,S0-a,,
IC217,G,2.00,0.45,35,23.76,Sc,,
IC218,G,0.91,0.30,75,23.30,Sbc,,
IC219,G,1.56,1.19,177,24.27,E,,
IC220,G,0.67,0.32,34,22.94,Sb,,
IC221,G,1.54,1.19,16,23.28,Sc,,
IC222,G,0.84,0.65,42,23.36,SABa,,
IC223,G,1.15,0.59,143,22.54,IB,,
IC224,G,0.86,0.59,130,23.16,Sab,,
IC225,G,1.01,0.90,158,23.45,E,,
IC226,G,0.81,0.72,55,23.92,E,,
IC227,G,2.01,1.77,80,25.78,E,,
IC230,G,0.64,0.42,87,23.42,S0-a,,
IC231,G,0.74,0.33,162,23.31,S0,,
IC232,G,1.10,0.67,154,23.42,E,,
IC233,G,0.33,0.26,100,21.68,Sbc,,
IC234,G,0.69,0.35,158,22.81,SBc,,
IC235,G,0.39,0.30,35,21.56,,,
IC236,G,0.74,0.37,23,23.88,S0-a,,
IC237,G,0.54,0.51,11,22.32,SBb,,
IC238,G,1.38,0.79,35,23.54,S0,,
IC239,G,4.25,4.01,75,23.72,SABc,,
IC241,G,0.90,0.59,152,23.12,E-S0,,
IC243,G,1.22,0.70,20,24.22,Sa,,
IC244,G,0.70,0.47,176,22.95,SABc,,
IC245,G,1.11,0.29,25,22.95,Sbc,,
IC246,G,0.69,0.61,48,23.40,S0,,
IC247,G,0.88,0.64,45,22.96,SBbc,,
IC248,G,0.99,0.74,147,22.92,Sa,,
IC250,G,0.91,0.73,178,23.42,SABb,,
IC251,G,0.84,0.74,96,23.41,E,,
IC252,G,1.01,0.62,26,23.86,S0-a,,
IC253,G,0.95,0.74,162,23.46,S0,,
IC254,G,0.26,0.25,55,,,,
IC255,G,0.59,0.40,45,23.19,SABb,,
IC256,G,0.46,0.29,30,,E,,
IC257,G,1.93,1.19,154,24.12,E,,
IC258,G,1.48,1.23,170,25.10,S0-a,,
IC259,G,0.69,0.53,130,23.30,S0,,
IC260,G,1.53,0.75,170,24.64,E,,
IC262,G,2.10,1.74,36,25.05,S0,,
IC263,G,0.65,0.44,168,22.65,S0-a,,
IC264,G,0.50,0.37,28,23.25,E,,
IC265,G,0.71,0.63,60,23.64,E,,
IC266,G,0.74,0.31,136,24.09,S0-a,,
IC267,G,1.86,0.69,170,23.27,Sb,,
IC268,G,0.97,0.55,68,23.63,SABa,,
IC269,G,1.19,0.35,126,24.20,S0-a,,
IC270,G,1.80,1.43,51,24.00,E-S0,,
IC271,G,1.06,0.61,131,23.56,S0-a,,
IC272,G,0.96,0.67,30,23.22,Sbc,,
IC273,G,1.49,0.46,32,23.62,Sa,,
IC275,GTrpl,1.00,,,,,,
IC275,G,0.32,0.23,16,,,,
IC275,G,1.38,1.20,25,24.01,E,,
IC275,G,0.30,0.30,0,,,,
IC276,G,1.67,0.61,62,23.91,S0,,
IC277,G,1.00,0.89,44,22.54,SBbc,,
IC278,G,2.17,2.17,125,25.25,E,,
IC279,G,0.54,0.45,166,22.75,Sbc,,
IC283,G,0.71,0.54,5,22.98,Sc,,
IC284,G,4.29,2.15,14,23.82,Sd,,
IC285,G,1.45,0.36,117,23.45,Sbc,,
IC287,G,0.81,0.59,9,23.37,Sc,,
IC288,G,1.01,0.28,41,22.98,Sab,,
IC289,PN,0.58,,,,,,
IC290,G,1.24,0.32,129,23.74,Sb,,
IC291,G,1.19,0.52,91,23.51,S0-a,,
IC292,G,1.19,0.65,73,22.78,Scd,,
IC293,G,1.05,0.76,108,24.14,S0-a,,
IC294,G,1.49,1.17,106,24.73,S0-a,,
IC298,GPair,0.80,,,,,,
IC298,G,0.54,0.34,35,23.52,,,
IC298,G,0.43,0.33,5,,Sbc,,
IC299,G,0.87,0.68,30,23.87,S0-a,,
IC300,G,0.65,0.60,115,23.98,E,,
IC301,G,1.26,1.11,177,24.09,E,,
IC302,G,1.84,1.20,22,23.34,Sbc,,
IC303,G,0.59,0.46,47,23.56,,,
IC304,G,1.06,0.65,29,23.26,Sb,,
IC305,G,0.79,0.64,74,23.77,E,,
IC306,G,0.71,0.58,79,23.13,SABc,,
IC307,G,1.60,0.60,67,23.89,Sa,,
IC308,G,1.16,0.93,4,24.44,S0,,
IC309,G,1.02,0.95,30,23.54,S0,,
IC310,G,1.50,1.42,25,23.49,S0,,
IC311,G,1.00,1.00,100,24.39,Sb,,
IC312,G,1.19,0.57,125,23.84,E,,
IC313,G,1.26,0.87,42,24.18,E,,
IC315,G,0.68,0.33,45,,S0,,
IC316,GPair,0.80,,,,,,
IC316,G,0.45,0.17,116,22.28,,,
IC316,G,1.06,0.79,64,23.64,S?,,
IC317,G,0.88,0.71,58,22.99,SABc,,
IC318,G,1.08,0.45,134,23.24,Sa,,
IC320,G,1.12,0.91,99,24.02,Sab,,
IC321,G,1.03,0.95,25,23.73,E,,
IC322,G,0.76,0.38,6,23.77,,,
IC325,G,0.83,0.74,80,23.80,Sab,,
IC326,G,1.13,0.84,101,24.21,E-S0,,
IC327,G,0.80,0.47,70,23.18,Sab,,
IC328,G,0.67,0.48,16,22.41,Sc,,
IC329,G,1.00,0.48,63,24.02,E,,
IC330,G,1.02,0.32,73,23.43,SBab,,
IC331,G,0.91,0.91,105,23.51,E,,
IC332,G,0.97,0.50,44,23.81,S0-a,,
IC334,G,2.34,1.85,58,23.06,S?,,
IC335,G,2.62,0.80,83,23.73,S0,,
IC336,Neb,,,,,,,
IC338,G,0.84,0.68,176,23.24,Sc,,
IC340,G,1.61,0.58,90,24.25,S0-a,,
IC341,Neb,134.90,,,,,,
IC342,G,19.77,18.79,0,24.85,SABc,,
IC343,G,1.51,0.66,113,23.67,S0-a,,
IC344,G,0.89,0.47,42,22.89,SBbc,,
IC345,G,0.88,0.73,37,23.18,S0,,
IC346,G,1.95,1.47,69,23.80,S0-a,,
IC347,G,1.37,1.02,138,23.43,S0,,
IC348,Cl+N,10.00,10.00,,,,,omi Per Cloud
IC349,RfN,25.70,,,,,,Barnard's Merope Nebula
IC350,G,1.09,0.79,165,23.45,Sab,,
IC351,PN,0.12,,,,,,
IC352,G,0.70,0.48,119,23.66,S0-a,,
IC353,Neb,181.97,30.20,,,,,
IC354,Neb,128.82,,,,,,
IC355,G,0.67,0.56,161,23.21,Sc,,
IC356,G,4.02,3.73,90,23.27,Sb,,
IC357,G,0.94,0.61,147,22.90,SBb,,
IC358,G,1.18,0.28,63,24.19,S0,,
IC359,G,1.30,1.30,105,24.84,E,,
IC359,RfN,15.00,10.00,,,,,
IC360,Neb,180.00,100.00,,,,,
IC361,OCl,7.20,,,,,,
IC362,G,1.77,1.03,5,24.24,E,,
IC363,G,0.33,0.31,25,,E,,
IC364,G,0.78,0.49,72,23.49,S0-a,,
IC365,G,0.88,0.56,34,23.30,S0-a,,
IC366,G,0.34,0.20,20,22.13,E,,
IC367,G,1.74,0.61,140,24.31,E-S0,,
IC368,G,0.99,0.83,164,23.59,S0,,
IC369,G,0.76,0.76,35,23.53,S0,,
IC370,G,0.99,0.89,123,23.57,Sc,,
IC372,G,0.97,0.45,30,23.93,S0-a,,
IC373,G,0.98,0.76,109,23.59,S0-a,,
IC374,G,0.23,0.19,80,21.33,S0-a,,
IC375,G,0.82,0.54,59,23.27,SBb,,
IC376,G,0.59,0.48,50,23.65,,,
IC377,G,1.00,0.83,99,23.70,E,,
IC378,G,0.79,0.48,69,23.71,E-S0,,
IC379,G,0.93,0.82,35,23.33,SABb,,
IC380,G,0.76,0.46,75,23.06,SABb,,
IC382,G,1.99,1.18,173,23.33,SABc,,
IC383,G,0.63,0.56,36,23.35,E-S0,,
IC384,G,0.49,0.48,94,,E,,
IC385,G,1.15,0.58,107,24.19,S0,,
IC387,G,1.60,1.11,84,23.32,SABc,,
IC388,GPair,1.00,,,,,,
IC388,G,0.54,0.44,54,23.53,,,
IC388,G,0.89,0.40,10,24.37,E,,
IC389,G,1.09,0.82,20,23.82,E-S0,,
IC390,G,1.14,0.40,35,24.34,S0-a,,
IC391,G,1.39,1.33,25,22.41,Sc,,
IC392,G,1.45,1.00,168,23.01,S0,,
IC393,G,0.81,0.77,7,23.30,E,,
IC396,G,2.38,1.45,86,23.22,Sbc,,
IC398,G,1.18,0.34,2,,SBbc,,
IC399,G,0.54,0.45,81,22.71,IAB,,
IC400,G,1.55,0.17,117,,,,
IC401,G,1.75,0.58,55,23.16,SBb,,
IC402,G,1.26,0.56,146,22.96,SABc,,
IC404,G,0.73,0.53,130,,S0-a,,
IC405,Neb,50.00,30.00,,,,,Flaming Star Nebula
IC407,G,1.93,0.36,164,,Sc,,
IC408,G,1.95,0.97,162,24.02,S0,,
IC409,GPair,0.95,0.72,19,23.63,E,,
IC410,Neb,40.00,30.00,,,,,
IC411,G,1.36,1.00,129,23.53,S0,,
IC412,G,1.17,0.65,0,23.35,Sab,,
IC413,G,1.08,0.80,140,23.58,S0,,
IC414,G,0.60,0.44,140,22.63,E,,
IC415,G,0.76,0.58,148,,,,
IC416,G,1.41,0.70,71,,SBc,,
IC417,HII,13.00,10.00,,,,,
IC418,PN,0.20,,,,,,
IC420,Neb,6.03,,,,,,
IC421,G,2.96,2.22,108,,Sbc,,
IC422,G,1.04,0.93,130,,E,,
IC423,Neb,6.00,3.50,90,,,,
IC424,Neb,2.50,1.70,,,,,
IC426,Neb,10.00,3.00,,,,,
IC427,Neb,,,,,,,
IC428,Neb,,,,,,,
IC429,Neb,,,,,,,
IC430,Neb,10.96,,,,,,
IC431,RfN,8.00,5.00,,,,,
IC432,RfN,10.00,10.00,,,,,
IC433,G,1.42,1.12,138,,E,,
IC434,HII,90.00,30.00,,,,,Flame Nebula/Orion B
IC435,RfN,3.98,3.02,,,,,
IC437,G,0.97,0.46,7,23.39,Sa,,
